set,act,trial,start,end
1,1,1,11.267918348312378,12.870747089385986
1,1,2,17.75925588607788,19.374492645263672
1,1,3,23.13403844833374,24.75283455848694
1,1,4,29.03273057937622,30.638395071029663
1,1,5,34.891581535339355,36.51592230796814
1,1,6,40.96503949165344,42.57367706298828
1,1,7,57.72976613044739,59.34695076942444
1,1,8,63.33140754699707,64.93828439712524
1,1,9,69.42758512496948,71.04911184310913
1,1,10,74.93811297416687,76.55149626731873
1,1,11,80.9363443851471,82.5410213470459
1,1,12,88.27601075172424,89.88432621955872
1,1,13,103.75201082229614,105.36488652229309
1,1,14,108.86529970169067,110.4787814617157
1,1,15,115.08177065849304,116.68720412254333
1,1,16,120.11741471290588,121.73266673088074
1,1,17,126.59866666793823,128.20605778694153
1,1,18,131.97231650352478,133.58822536468506
1,1,19,145.46254420280457,147.07028794288635
1,1,20,151.09938669204712,152.70500326156616
1,1,21,156.4945592880249,158.10505294799805
1,1,22,161.9765796661377,163.57584071159363
1,1,23,168.008798122406,169.61120700836182
1,1,24,173.46007871627808,175.06906962394714
1,2,1,530.6850528717041,532.2665343284607
1,2,2,533.2459201812744,534.8209834098816
1,2,3,535.0329523086548,536.6039719581604
1,2,4,536.9939775466919,538.568555355072
1,2,5,538.9641840457916,540.5361986160278
1,2,6,540.848929643631,542.4309811592102
1,2,7,542.8521604537964,544.4243159294128
1,2,8,544.7449877262115,546.3154945373535
1,2,9,546.7002453804016,548.2743625640869
1,2,10,548.6630642414093,550.2365944385529
1,2,11,550.6622240543365,552.2420234680176
1,2,12,552.5865867137909,554.1621825695038
1,2,13,555.4939346313477,557.0643773078918
1,2,14,557.1464152336121,558.720493555069
1,2,15,558.8121514320374,560.391058921814
1,2,16,560.9603049755096,562.5339367389679
1,2,17,563.0398192405701,564.618814945221
1,2,18,565.0095460414886,566.5845606327057
1,2,19,566.9781587123871,568.5518670082092
1,2,20,568.8140754699707,570.3836443424225
1,2,21,570.8927628993988,572.4596719741821
1,2,22,572.9699046611786,574.5461366176605
1,2,23,574.9471817016602,576.5205645561218
1,2,24,576.9281730651855,578.4956047534943
