set,act,trial,start,end
1,1,1,56.596872329711914,58.20676612854004
1,1,2,75.18726181983948,76.80273699760437
1,1,3,86.11604380607605,87.73096036911011
1,1,4,108.96323418617249,110.57746911048889
1,1,5,118.36833333969116,119.98596906661987
1,1,6,127.15296602249146,128.7737946510315
1,1,7,154.1080195903778,155.70934557914734
1,1,8,165.53058409690857,167.13920998573303
1,1,9,182.68173956871033,184.28745460510254
1,1,10,215.15144515037537,216.75876688957214
1,1,11,227.0994074344635,228.70517206192017
1,1,12,237.88911318778992,239.51113438606262
1,2,1,278.7071945667267,280.31688380241394
1,2,2,283.56487131118774,285.1728184223175
1,2,3,288.2186231613159,289.83183217048645
1,2,4,296.6359031200409,298.2497057914734
1,2,5,301.3188536167145,302.94047117233276
1,2,6,305.77718567848206,307.3946485519409
1,2,7,315.47460675239563,317.0855555534363
1,2,8,319.79226064682007,321.4099838733673
1,2,9,329.45870065689087,331.06893014907837
1,2,10,336.45013427734375,338.06236362457275
1,2,11,340.0415394306183,341.6488428115845
1,2,12,343.62931299209595,345.24111890792847
