set,act,trial,start,end
1,1,1,90.61464405059814,92.21757102012634
1,1,2,92.59177041053772,94.19499206542969
1,1,3,94.82762265205383,96.43354487419128
1,1,4,96.84197998046875,98.46031308174133
1,1,5,98.8416690826416,100.45250082015991
1,1,6,100.85593318939209,102.45625495910645
1,1,7,102.88717293739319,104.49807262420654
1,1,8,105.21656799316406,106.83344912528992
1,1,9,107.29140210151672,108.8870370388031
1,1,10,109.45120120048523,111.05801224708557
1,1,11,111.97415709495544,113.5804853439331
1,1,12,114.51156830787659,116.11310529708862
1,2,1,149.70190501213074,151.32020950317383
1,2,2,155.029935836792,156.64661478996277
1,2,3,160.03024244308472,161.6391806602478
1,2,4,171.8526406288147,173.46476554870605
1,2,5,176.59217619895935,178.20122051239014
1,2,6,182.14161348342896,183.76360368728638
1,2,7,187.08548974990845,188.69106221199036
1,2,8,204.21977877616882,205.82631063461304
1,2,9,208.221342086792,209.8343358039856
1,2,10,212.9336016178131,214.5381782054901
1,2,11,220.0434000492096,221.6434142589569
1,2,12,223.8766324520111,225.4794144630432
