set,act,trial,start,end
1,1,1,6.2666380405426025,8.685728311538696
1,1,2,10.509571313858032,12.922376155853271
1,1,3,16.216481685638428,18.630606174468994
1,1,4,21.85042929649353,24.275312662124634
1,1,5,25.30674958229065,27.724836111068726
1,1,6,29.49189257621765,31.908961534500122
1,1,7,43.27728724479675,45.70395255088806
1,1,8,47.0831937789917,49.50966000556946
1,1,9,52.38824939727783,54.81886148452759
1,1,10,55.23558521270752,57.650940895080566
1,1,11,61.46969032287598,63.8914110660553
1,1,12,65.53307890892029,67.95485782623291
1,1,13,76.41497278213501,78.8169379234314
1,1,14,88.13470721244812,90.54890584945679
1,1,15,90.9256842136383,93.34489965438843
1,1,16,99.46142721176147,101.86586952209473
1,1,17,102.49808621406555,104.90470242500305
1,1,18,105.40402626991272,107.81373381614685
1,1,19,108.71263122558594,111.12054443359375
1,1,20,113.50238370895386,115.9157133102417
1,1,21,116.33034896850586,118.72963404655457
1,1,22,119.55141687393188,121.97516059875488
1,1,23,122.70720529556274,125.11825656890869
1,1,24,126.22477841377258,128.65109586715698
1,2,1,138.19591307640076,140.6220145225525
1,2,2,145.655287027359,148.07476592063904
1,2,3,153.35158896446228,155.7658281326294
1,2,4,160.4890329837799,162.9114990234375
1,2,5,165.88305759429932,168.2960844039917
1,2,6,170.75314331054688,173.1640100479126
1,2,7,182.54781126976013,184.97411251068115
1,2,8,188.01864790916443,190.44313144683838
1,2,9,194.00936603546143,196.4201204776764
1,2,10,200.2565324306488,202.67156505584717
1,2,11,207.18901824951172,209.61916828155518
1,2,12,213.22071051597595,215.64309906959534
1,2,13,218.73394799232483,221.15766406059265
1,2,14,235.59865927696228,238.0084149837494
1,2,15,241.13890171051025,243.55310082435608
1,2,16,245.71435523033142,248.12965965270996
1,2,17,250.57553386688232,252.99044489860535
1,2,18,255.97076845169067,258.39071321487427
1,2,19,270.25018644332886,272.6531093120575
1,2,20,275.17915391921997,277.5951659679413
1,2,21,280.0547637939453,282.46793818473816
1,2,22,284.9579129219055,287.36734318733215
1,2,23,290.0779321193695,292.48691725730896
1,2,24,295.5406541824341,297.946373462677
