WL,WINC,win_per_trial,train_acc,test_acc,note
60,1,441,71.17347121238708,72.63321995464852,OK
60,6,74,71.410471200943,71.62162162162163,OK
60,11,41,70.92225551605225,72.2560975609756,OK
60,16,29,69.61206793785095,72.62931034482759,OK
60,21,22,68.46590638160706,72.1590909090909,OK
60,26,18,68.48958134651184,70.13888888888889,OK
60,31,16,67.08984375,70.3125,OK
60,36,13,71.03365659713745,69.71153846153845,OK
60,41,12,67.05729365348816,74.47916666666666,OK
60,46,10,72.65625,71.875,OK
60,51,9,69.96527910232544,70.83333333333334,OK
60,56,8,71.875,74.21875,OK
60,61,9,63.36805820465088,72.22222222222221,OK
60,66,8,65.4296875,73.4375,OK
60,71,8,62.6953125,71.09375,OK
60,76,7,64.28571343421936,73.21428571428571,OK
60,81,7,62.27678656578064,75.0,OK
60,86,6,72.91666865348816,70.83333333333334,OK
60,91,6,61.71875,70.83333333333334,OK
60,96,6,61.71875,71.875,OK
80,1,421,73.96451830863953,75.74228028503563,OK
80,6,71,73.745596408844,75.79225352112677,OK
80,11,39,73.71794581413269,76.12179487179486,OK
80,16,27,74.01620149612427,75.92592592592592,OK
80,21,21,73.28869104385376,72.91666666666666,OK
80,26,17,73.4375,74.63235294117648,OK
80,31,15,68.22916865348816,75.0,OK
80,36,12,73.95833134651184,75.52083333333334,OK
80,41,12,66.92708134651184,77.08333333333334,OK
80,46,10,73.4375,76.25,OK
80,51,9,74.82638955116272,76.38888888888889,OK
80,56,8,74.609375,71.875,OK
80,61,8,66.015625,77.34375,OK
80,66,7,74.33035969734192,82.14285714285714,OK
80,71,7,66.29464030265808,75.89285714285714,OK
80,76,6,72.91666865348816,79.16666666666666,OK
80,81,7,64.0625,79.46428571428571,OK
80,86,6,64.0625,70.83333333333334,OK
80,91,6,61.97916865348816,75.0,OK
80,96,6,64.32291865348816,73.95833333333334,OK
100,1,401,76.27026438713074,76.74563591022444,OK
100,6,68,74.97702240943909,75.82720588235294,OK
100,11,37,76.35135054588318,76.18243243243244,OK
100,16,26,76.14182829856873,76.6826923076923,OK
100,21,20,76.2499988079071,76.25,OK
100,26,17,72.15073704719543,76.10294117647058,OK
100,31,14,70.3125,77.23214285714286,OK
100,36,12,75.390625,78.64583333333334,OK
100,41,11,70.45454382896423,75.56818181818183,OK
100,46,9,76.5625,76.38888888888889,OK
100,51,9,69.27083134651184,75.69444444444444,OK
100,56,8,76.5625,79.6875,OK
100,61,8,66.9921875,75.0,OK
100,66,7,77.45535969734192,80.35714285714286,OK
100,71,7,65.84821343421936,79.46428571428571,OK
100,76,6,74.47916865348816,73.95833333333334,OK
100,81,6,65.88541865348816,77.08333333333334,OK
100,86,5,80.0000011920929,75.0,OK
100,91,5,77.18750238418579,78.75,OK
100,96,5,76.8750011920929,80.0,OK
120,1,381,78.41207385063171,77.36220472440945,OK
120,6,64,77.978515625,76.953125,OK
120,11,36,76.47569179534912,77.77777777777779,OK
120,16,25,74.81250166893005,76.75,OK
120,21,19,77.71381735801697,76.64473684210526,OK
120,26,16,72.55859375,76.171875,OK
120,31,14,72.87946343421936,77.23214285714286,OK
