frame_idx,t_ns
0,56894100
1,88660700
2,120862300
3,152358500
4,185973700
5,216534700
6,249649100
7,281198100
8,328700000
9,361781900
10,393401200
11,425195700
12,456741100
13,488705300
14,520464100
15,553147400
16,584621100
17,617414800
18,649048000
19,680569900
20,729134900
21,760920100
22,792893900
23,824833100
24,857097500
25,888906000
26,920598700
27,952439500
28,984482300
29,1016585600
30,1049750100
31,1081189500
32,1128880300
33,1160619900
34,1192535500
35,1224903800
36,1256886000
37,1288800800
38,1320788400
39,1352560800
40,1384677200
41,1416657100
42,1449108900
43,1480949400
44,1528871300
45,1563935300
46,1592580100
47,1625902600
48,1657126900
49,1689956100
50,1720932100
51,1757360600
52,1784641100
53,1817396300
54,1848646500
55,1883824400
56,1928558700
57,1960575400
58,1993079000
59,2025058200
60,2057385300
61,2089048700
62,2120704700
63,2152848600
64,2185747900
65,2218386800
66,2250624900
67,2281053300
68,2328830200
69,2360584800
70,2392864000
71,2424901100
72,2456639900
73,2489206100
74,2521210300
75,2555148200
76,2584821500
77,2616795000
78,2648715700
79,2680681800
80,2729148000
81,2760651500
82,2793051400
83,2825176400
84,2857006500
85,2891490200
86,2920531700
87,2953120600
88,2984544600
89,3016835600
90,3048861600
91,3080612100
92,3129301700
93,3161038100
94,3192849300
95,3224955400
96,3257312800
97,3288570200
98,3321317700
99,3352571900
100,3385374100
101,3416853600
102,3449184700
103,3480925100
104,3528613800
105,3565288500
106,3593191600
107,3625179000
108,3657220700
109,3689055900
110,3721114900
111,3758004500
112,3785334700
113,3821563600
114,3848649500
115,3883953700
116,3928696600
117,3961116700
118,3993140600
119,4024904100
120,4058295700
121,4089190000
122,4122006300
123,4153432300
124,4187730900
125,4217102200
126,4248904100
127,4280714800
128,4328775000
