time_s	ch1	ch2	ch3
2.090000	1.320557	1.376221	1.226074
2.091000	1.299316	1.157959	1.226807
2.091000	1.331543	1.293457	1.355713
2.092000	1.294189	1.338135	1.382812
2.093000	1.322754	1.303711	1.256104
2.093000	1.257568	1.261230	1.316895
2.094000	1.316162	1.311768	1.242188
2.095000	1.308838	1.322021	1.119141
2.095000	1.353516	1.368164	1.408447
2.095000	1.309570	1.323486	1.303711
2.097000	1.329346	1.365967	1.328613
2.097000	1.286133	1.327148	1.343994
2.098000	1.341064	1.367432	1.299316
2.099000	1.354248	1.249512	1.292725
2.099000	1.305176	1.268555	1.294189
2.100000	1.297852	1.319092	1.328613
2.100000	1.331543	1.382080	1.295654
2.101000	1.323486	1.333740	1.295654
2.102000	1.296387	1.305908	1.276611
2.102000	1.290527	1.369629	1.249512
2.103000	1.300049	1.275146	1.325684
2.104000	1.298584	1.265625	1.363037
2.104000	1.308105	1.323486	1.287598
2.105000	1.313232	1.297119	1.281006
2.105000	1.320557	1.347656	1.300049
2.140000	1.329346	1.367432	1.346191
2.147000	1.278076	1.269287	1.339600
2.148000	1.310303	1.305908	1.267822
2.148000	1.308105	1.297119	1.219482
2.149000	1.289795	1.402588	1.300049
2.149000	1.308105	1.267822	1.376953
2.149000	1.312500	1.281738	1.412842
2.150000	1.324219	1.338867	1.329346
2.150000	1.287598	1.151367	1.246582
2.151000	1.316162	1.369629	1.283203
2.151000	1.315430	1.335938	1.294922
2.152000	1.307373	1.341797	1.275879
2.152000	1.253174	1.308105	1.286133
2.152000	1.330811	1.281006	1.338867
2.153000	1.353516	1.382080	1.330078
2.153000	1.331543	1.270752	1.278809
2.154000	1.315430	1.187988	1.220215
2.154000	1.288330	1.382080	1.287598
2.154000	1.313232	1.298584	1.325684
2.155000	1.328613	1.362305	1.249512
2.155000	1.323486	1.324219	1.313965
2.155000	1.287598	1.268555	1.333008
2.156000	1.322754	1.335205	1.272217
2.156000	1.310303	1.323486	1.505859
2.156000	1.310303	1.324219	1.198242
2.191000	1.315430	1.252441	1.305908
2.191000	1.313965	1.363770	1.272217
2.192000	1.304443	1.265625	1.270752
2.192000	1.320557	1.317627	1.403320
2.192000	1.302246	1.370361	1.338867
2.193000	1.330811	1.351318	1.404785
2.194000	1.412842	1.253174	1.291260
2.194000	1.312500	1.409180	1.231934
2.195000	1.300049	1.297119	1.306641
2.195000	1.323486	1.271484	1.329346
2.196000	1.267822	1.477295	1.350586
2.196000	1.334473	1.358643	1.270020
2.197000	1.301514	1.157959	1.281738
2.197000	1.308838	1.308105	1.327881
2.198000	1.314697	1.276611	1.345459
2.199000	1.298584	1.385010	1.294922
2.199000	1.327881	1.387939	1.272949
2.200000	1.322754	1.301514	1.353516
2.200000	1.297119	1.272217	1.306641
2.204000	1.298584	1.322754	1.325684
2.207000	1.300049	1.289795	1.283203
2.209000	1.352783	1.404053	1.323486
2.209000	1.294922	1.434814	1.272949
2.209000	1.302246	1.253174	1.328613
2.209000	1.325684	1.275879	1.360107
2.240000	1.338867	1.324219	1.322021
2.240000	1.307373	1.327148	1.335938
2.241000	1.301514	1.343994	1.276611
2.241000	1.312500	1.367432	1.286133
