set,act,trial,start,end
1,1,1,37.62919044494629,40.87892961502075
1,1,2,41.79684567451477,45.035804271698
1,1,3,45.73869466781616,48.9722957611084
1,1,4,57.44103169441223,60.690110206604004
1,1,5,61.36427903175354,64.61884784698486
1,1,6,65.87338495254517,69.13856410980225
1,1,7,98.04182004928589,101.28860664367676
1,1,8,101.94756436347961,105.19504070281982
1,1,9,106.53558087348938,109.78594183921814
1,1,10,111.18632459640503,114.42150163650513
1,1,11,115.70692610740662,118.98130512237549
1,1,12,120.0096435546875,123.25166463851929
1,2,1,148.57221817970276,151.837899684906
1,2,2,169.93681120872498,173.18250608444214
1,2,3,180.3490560054779,183.5952136516571
1,2,4,191.5793001651764,194.81630325317383
1,2,5,201.94691228866577,205.2002363204956
1,2,6,214.2514944076538,217.48710870742798
1,2,7,237.26440620422363,240.5280261039734
1,2,8,246.74378275871277,249.98128032684326
1,2,9,255.62514901161194,258.860205411911
1,2,10,263.642697095871,266.8912105560303
1,2,11,271.4437093734741,274.7050635814667
1,2,12,278.806964635849,282.04158568382263
